Symbol
AFFLE.NS
BHARTIHEXA.NS
COFORGE.NS
CYIENT.NS
HFCL.NS
HEXT.NS
INDUSTOWER.NS
INTELLECT.NS
KPITTECH.NS
LTTS.NS
MPHASIS.NS
OFSS.NS
PERSISTENT.NS
SAGILITY.NS
SONATSOFTW.NS
TATACOMM.NS
TATAELXSI.NS
TATATECH.NS
IDEA.NS
ZENSARTECH.NS
